縣	县	xiàn	county
新會縣	新会县	Xīn huì xiàn	Xinhui county in Guangdong
新河縣	新河县	Xīn hé xiàn	Xinhe county in Xingtai 邢台[Xíng tái], Hebei
新津縣	新津县	Xīn jīn xiàn	Xinjin county in Chengdu 成都[Chéng dū], Sichuan
新源縣	新源县	Xīn yuán xiàn	Xinyuan county or Künes nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
新潟縣	新潟县	Xīn xì xiàn	Niigata prefecture in northwest Japan
新田縣	新田县	Xīn tián xiàn	Xintian county in Yongzhou 永州[Yǒng zhōu], Hunan
新疆溫宿縣	新疆温宿县	Xīn jiāng Wēn sù xiàn	Wensu County in Xinjiang
新竹縣	新竹县	Xīn zhú Xiàn	Xinzhu or Hsinchu County in northwest Taiwan
新絳縣	新绛县	Xīn jiàng xiàn	Xinjiang county in Yuncheng 運城|运城[Yùn chéng], Shanxi
新縣	新县	Xīn xiàn	Xin county in Xinyang 信陽|信阳, Henan
新興縣	新兴县	Xīn xīng xiàn	Xinxing county in Yunfu 雲浮|云浮[Yún fú], Guangdong
新蔡縣	新蔡县	Xīn cài xiàn	Xincai county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
新豐縣	新丰县	Xīn fēng Xiàn	Xinfeng County in Shaoguan 韶關|韶关[Sháo guān], Guangdong
新賓滿族自治縣	新宾满族自治县	Xīn bīn mǎn zú Zì zhì xiàn	Xinbin Manchu autonomous county in Fushun 撫順|抚顺, Liaoning
新賓縣	新宾县	Xīn bīn xiàn	Xinbin county in Fushun 撫順|抚顺, Liaoning
新邵縣	新邵县	Xīn shào xiàn	Xinshao county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
新鄉縣	新乡县	Xīn xiāng xiàn	Xinxiang county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
新野縣	新野县	Xīn yě xiàn	Xinye county in Nanyang 南陽|南阳[Nán yáng], Henan
新金縣	新金县	Xīn jīn xiàn	Xinjin county in Liaoning
新龍縣	新龙县	Xīn lóng xiàn	Xinlong county (Tibetan: nyag rong rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
方城縣	方城县	Fāng chéng xiàn	Fangcheng county in Nanyang 南陽|南阳[Nán yáng], Henan
方山縣	方山县	Fāng shān xiàn	Fangshan county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
方正縣	方正县	Fāng zhèng xiàn	Fangzheng county in Harbin 哈爾濱|哈尔滨[Hā ěr bīn], Heilongjiang
於田縣	于田县	Yú tián Xiàn	Yutian County in Hotan Prefecture 和田地區|和田地区[Hé tián Dì qū], Xinjiang
於都縣	于都县	Yú dū xiàn	Yudu county in Ganzhou 贛州|赣州, Jiangxi
施甸縣	施甸县	Shī diàn xiàn	Shidian county in Baoshan 保山[Bǎo shān], Yunnan
施秉縣	施秉县	Shī bǐng xiàn	Shibing county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
旌德縣	旌德县	Jīng dé xiàn	Jingde county in Xuancheng 宣城[Xuān chéng], Anhui
日土縣	日土县	Rì tǔ xiàn	Rutog county in Ngari prefecture, Tibet, Tibetan: Ru thog rdzong
旬邑縣	旬邑县	Xún yì Xiàn	Xunyi County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
旬陽縣	旬阳县	Xún yáng Xiàn	Xunyang County in Ankang 安康[Ān kāng], Shaanxi
旺蒼縣	旺苍县	Wàng cāng xiàn	Wangcang county in Guangyuan 廣元|广元[Guǎng yuán], Sichuan
昂仁縣	昂仁县	Áng rén xiàn	Ngamring county, Tibetan: Ngam ring rdzong, in Shigatse prefecture, Tibet
昌圖縣	昌图县	Chāng tú xiàn	Changtu county in Tieling 鐵嶺|铁岭, Liaoning
昌寧縣	昌宁县	Chāng níng xiàn	Changning county in Baoshan 保山[Bǎo shān], Yunnan
昌樂縣	昌乐县	Chāng lè xiàn	Changle county in Weifang 濰坊|潍坊[Wéi fāng], Shandong
昌江縣	昌江县	Chāng jiāng xiàn	Changjiang Lizu autonomous county, Hainan
昌江黎族自治縣	昌江黎族自治县	Chāng jiāng Lí zú Zì zhì xiàn	Changjiang Lizu autonomous county, Hainan
昌都縣	昌都县	Chāng dū xiàn	Qamdo county, Tibetan: Chab mdo rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
昌黎縣	昌黎县	Chāng lí xiàn	Changli county in Qinhuangdao 秦皇島|秦皇岛[Qín huáng dǎo], Hebei
明水縣	明水县	Míng shuǐ xiàn	Mingshui county in Suihua 綏化|绥化, Heilongjiang
明溪縣	明溪县	Míng xī xiàn	Mingxi county in Sanming 三明[Sān míng], Fujian
易縣	易县	Yì xiàn	Yi county in Baoding 保定[Bǎo dìng], Hebei
易門縣	易门县	Yì mén xiàn	Yimen county in Yuxi 玉溪[Yù xī], Yunnan
昔陽縣	昔阳县	Xī yáng xiàn	Xiyang county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi
星子縣	星子县	Xīng zǐ xiàn	Xingzi county in Jiujiang 九江, Jiangxi
昭平縣	昭平县	Zhāo píng xiàn	Zhaoping county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
昭蘇縣	昭苏县	Zhāo sū xiàn	Zhaosu county or Mongghulküre nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
昭覺縣	昭觉县	Zhāo jué xiàn	Zhaojue county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
晉寧縣	晋宁县	Jìn níng xiàn	Jinning county in Kunming 昆明[Kūn míng], Yunnan
晉縣	晋县	Jìn xiàn	Jin county in Hebei
普安縣	普安县	Pǔ ān xiàn	Puan county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
普定縣	普定县	Pǔ dìng xiàn	Puding county in Anshun 安順|安顺[Ān shùn], Guizhou
普格縣	普格县	Pǔ gé xiàn	Puge county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
普洱哈尼族彞族自治縣	普洱哈尼族彝族自治县	Pǔ ěr Hā ní zú Yí zú Zì zhì xiàn	former Pu'er Hani and Yi autonomous county in Yunnan, renamed in 2007 Ning'er Hani and Yi autonomous county 寧洱哈尼族彞族自治縣|宁洱哈尼族彝族自治县, capital Pu'er city 普洱市
普蘭縣	普兰县	Pǔ lán xiàn	Burang county in Ngari prefecture, Tibet, Tibetan: Spu hreng rdzong
景寧畬族自治縣	景宁畲族自治县	Jǐng níng Shē zú Zì zhì xiàn	Jingning Shezu autonomous county in Lishui 麗水|丽水[Lí shuǐ], Zhejiang
景寧縣	景宁县	Jǐng níng xiàn	Jingning Shezu autonomous county in Lishui 麗水|丽水[Lí shuǐ], Zhejiang
景東彞族自治縣	景东彝族自治县	Jǐng dōng Yí zú Zì zhì xiàn	Jingdong Yi autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
景東縣	景东县	Jǐng dōng xiàn	Jingdong Yi autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
景泰縣	景泰县	Jǐng tài xiàn	Jingtai county in Baiyin 白銀|白银[Bái yín], Gansu
景縣	景县	Jǐng xiàn	Jing county in Hengshui 衡水[Héng shuǐ], Hebei
景谷傣族彞族自治縣	景谷傣族彝族自治县	Jǐng gǔ Dǎi zú Yí zú Zì zhì xiàn	Jinggu Dai and Yi autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
景谷縣	景谷县	Jǐng gǔ xiàn	Jinggu Dai and Yi autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
晴隆縣	晴隆县	Qíng lóng xiàn	Qinglong county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
曲周縣	曲周县	Qǔ zhōu xiàn	Quzhou county in Handan 邯鄲|邯郸[Hán dān], Hebei
曲松縣	曲松县	Qǔ sōng xiàn	Qusum county, Tibetan: Chu gsum rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
曲水縣	曲水县	Qǔ shuǐ xiàn	Qüxü county, Tibetan: Chu shur rdzong in Lhasa 拉薩|拉萨[Lā sà], Tibet
曲沃縣	曲沃县	Qǔ wò xiàn	Quwo county in Linfen 臨汾|临汾[Lín fén], Shanxi
曲陽縣	曲阳县	Qǔ yáng xiàn	Quyang county in Baoding 保定[Bǎo dìng], Hebei
曲麻萊縣	曲麻莱县	Qǔ má lái xiàn	Qumarleb county (Tibetan: chu dmar leb rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
曹縣	曹县	Cáo xiàn	Cao county in Heze 菏澤|菏泽[Hé zé], Shandong
會同縣	会同县	Huì tóng xiàn	Huitong county in Huaihua 懷化|怀化[Huái huà], Hunan
會寧縣	会宁县	Huì níng xiàn	Huining county in Baiyin 白銀|白银[Bái yín], Gansu
會昌縣	会昌县	Huì chāng xiàn	Huichang county in Ganzhou 贛州|赣州, Jiangxi
會東縣	会东县	Huì dōng xiàn	Huidong county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
會澤縣	会泽县	Huì zé xiàn	Huize county in Qujing 曲靖[Qǔ jìng], Yunnan
會理縣	会理县	Huì lǐ xiàn	Huili county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
會里縣	会里县	Huì lǐ xiàn	Huili county in Sichuan
朗縣	朗县	Lǎng xiàn	Nang county, Tibetan: Snang rdzong, in Nyingchi prefecture 林芝地區|林芝地区[Lín zhī dì qū], Tibet
望城縣	望城县	Wàng chéng xiàn	Wangcheng county in Changsha 長沙|长沙[Cháng shā], Hunan
望奎縣	望奎县	Wàng kuí xiàn	Wangkui county in Suihua 綏化|绥化, Heilongjiang
望江縣	望江县	Wàng jiāng xiàn	Wangjiang county in Anqing 安慶|安庆[Ān qìng], Anhui
望謨縣	望谟县	Wàng mó xiàn	Wangmo county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
望都縣	望都县	Wàng dū xiàn	Wangdu county in Baoding 保定[Bǎo dìng], Hebei
朝陽縣	朝阳县	Cháo yáng xiàn	Chaoyang county in Chaoyang 朝陽|朝阳[Cháo yáng], Liaoning
木壘哈薩克自治縣	木垒哈萨克自治县	Mù lěi Hā sà kè Zì zhì xiàn	Mori Kazakh autonomous county or Mori Qazaq aptonom nahiyisi in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
木壘縣	木垒县	Mù lěi xiàn	Mori Kazakh autonomous county or Mori Qazaq aptonom nahiyisi in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
木蘭縣	木兰县	Mù lán xiàn	Mulan county in Harbin 哈爾濱|哈尔滨[Hā ěr bīn], Heilongjiang
木里藏族自治縣	木里藏族自治县	Mù lǐ Zàng zú Zì zhì xiàn	Muli Tibetan autonomous county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
本溪滿族自治縣	本溪满族自治县	Běn xī Mǎn zú Zì zhì xiàn	Benxi Manchu autonomous county in Benxi 本溪, Liaoning
本溪縣	本溪县	Běn xī xiàn	Benxi Manchu autonomous county in Benxi 本溪, Liaoning
札達縣	札达县	Zhá dá xiàn	Zanda county in Ngari prefecture, Tibet, Tibetan: Rtsa mda' rdzong
杜爾伯特縣	杜尔伯特县	Dù ěr bó tè xiàn	Dorbod Mongol autonomous county in Daqing 大慶|大庆[Dà qìng], Heilongjiang
杜爾伯特蒙古族自治縣	杜尔伯特蒙古族自治县	Dù ěr bó tè Měng gǔ zú Zì zhì xiàn	Dorbod Mongol autonomous county in Daqing 大慶|大庆[Dà qìng], Heilongjiang
杞縣	杞县	Qǐ xiàn	Qi county in Kaifeng 開封|开封[Kāi fēng], Henan
東光縣	东光县	Dōng guāng xiàn	Dongguang county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
東安縣	东安县	Dōng ān xiàn	Dongan county in Yongzhou 永州[Yǒng zhōu], Hunan
東寧縣	东宁县	Dōng níng xiàn	Dongning county in Mudanjiang 牡丹江, Heilongjiang
東山縣	东山县	Dōng shān xiàn	Dongshan county in Zhangzhou 漳州[Zhāng zhōu], Fujian
東平縣	东平县	Dōng píng xiàn	Dongping county in Tai'an 泰安[Tài ān], Shandong
東方黎族自治縣	东方黎族自治县	Dōng fāng Lí zú Zì zhì xiàn	Dongfang Lizu autonomous county, Hainan
東明縣	东明县	Dōng míng xiàn	Dongming county in Heze 菏澤|菏泽[Hé zé], Shandong
東海縣	东海县	Dōng hǎi xiàn	Donghai county in Lianyungang 連雲港|连云港[Lián yún gǎng], Jiangsu
東源縣	东源县	Dōng yuán xiàn	Dongyuan county in Heyuan 河源[Hé yuán], Guangdong
東至縣	东至县	Dōng zhì xiàn	Dongzhi county in Chizhou 池州[Chí zhōu], Anhui
東蘭縣	东兰县	Dōng lán xiàn	Donglan county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
東豐縣	东丰县	Dōng fēng xiàn	Dongfeng county in Liaoyuan 遼源|辽源, Jilin
東遼縣	东辽县	Dōng liáo xiàn	Dongliao county in Liaoyuan 遼源|辽源, Jilin
東鄉族自治縣	东乡族自治县	Dōng xiāng zú Zì zhì xiàn	Dongxiang autonomous county in Linxia Hui autonomous prefecture 臨夏回族自治州|临夏回族自治州[Lín xià Huí zú zì zhì zhōu], Gansu
東鄉縣	东乡县	Dōng xiāng xiàn	Dongxiang county in Fuzhou 撫州|抚州, Jiangxi
東阿縣	东阿县	Dōng ē xiàn	Dong'e county in Liaocheng 聊城[Liáo chéng], Shandong
松桃縣	松桃县	Sōng táo xiàn	Songtao Hmong autonomous county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
松桃苗族自治縣	松桃苗族自治县	Sōng táo Miáo zú Zì zhì xiàn	Songtao Miao Autonomous County, Guizhou
松溪縣	松溪县	Sōng xī xiàn	Songxi county in Nanping 南平[Nán píng] Fujian
松潘縣	松潘县	Sōng pān xiàn	Songpan county (Tibetan: zung chu rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
松陽縣	松阳县	Sōng yáng xiàn	Songyang county in Lishui 麗水|丽水[Lí shuǐ], Zhejiang
林口縣	林口县	Lín kǒu xiàn	Linkou county in Mudanjiang 牡丹江, Heilongjiang
林周縣	林周县	Lín zhōu xiàn	Lhünzhub county, Tibetan: Lhun grub rdzong in Lhasa 拉薩|拉萨[Lā sà], Tibet
林甸縣	林甸县	Lín diàn xiàn	Lindian county in Daqing 大慶|大庆[Dà qìng], Heilongjiang
林縣	林县	Lín xiàn	Lin county in Henan
林芝縣	林芝县	Lín zhī xiàn	Nyingchi county, Tibetan: Nying khri rdzong, in Nyingchi prefecture 林芝地區|林芝地区[Lín zhī dì qū], Tibet
林西縣	林西县	Lín xī xiàn	Lingxi county of Chifeng 赤峰, Inner Mongolia
柏鄉縣	柏乡县	Bǎi xiāng xiàn	Baixiang county in Xingtai 邢台[Xíng tái], Hebei
柘城縣	柘城县	Zhè chéng xiàn	Zhecheng county in Shangqiu 商丘[Shāng qiū], Henan
柘榮縣	柘荣县	Zhè róng xiàn	Zherong county in Ningde 寧德|宁德[Níng dé], Fujian
柞水縣	柞水县	Zhà shuǐ Xiàn	Zhashui County in Shangluo 商洛[Shāng luò], Shaanxi
柯坪縣	柯坪县	Kē píng xiàn	Kelpin nahiyisi (Kelpin county) in Aksu 阿克蘇地區|阿克苏地区[Ā kè sū dì qū], west Xinjiang
柳城縣	柳城县	Liǔ chéng xiàn	Liucheng county in Liuzhou 柳州[Liǔ zhōu], Guangxi
柳林縣	柳林县	Liǔ lín xiàn	Liulin county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
柳江縣	柳江县	Liǔ jiāng xiàn	Liujiang county in Liuzhou 柳州[Liǔ zhōu], Guangxi
柳河縣	柳河县	Liǔ hé xiàn	Liuhe county in Tonghua 通化, Jilin
株洲縣	株洲县	Zhū zhōu xiàn	Zhuzhou county in Zhuzhou 株洲, Hunan
桂東縣	桂东县	Guì dōng xiàn	Guidong county in Chenzhou 郴州[Chēn zhōu], Hunan
桂陽縣	桂阳县	Guì yáng xiàn	Guiyang county in Chenzhou 郴州[Chēn zhōu], Hunan
桃園縣	桃园县	Táo yuán xiàn	Taoyuan county in Taiwan
桃江縣	桃江县	Táo jiāng xiàn	Taojiang county in Yiyang 益陽|益阳[Yì yáng], Hunan
桃源縣	桃源县	Táo yuán xiàn	Taoyuan county in Changde 常德[Cháng dé], Hunan
桐廬縣	桐庐县	Tóng lú xiàn	Tonglu county in Hangzhou 杭州[Háng zhōu], Zhejiang
桐柏縣	桐柏县	Tóng bǎi xiàn	Tongbai county in Nanyang 南陽|南阳[Nán yáng], Henan
桐梓縣	桐梓县	Tóng zǐ xiàn	Taongzi county in Zunyi 遵義|遵义[Zūn yì], Guizhou
桑日縣	桑日县	Sāng rì xiàn	Sangri county, Tibetan: Zangs ri rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
桑植縣	桑植县	Sāng zhí xiàn	Shangzhi county in Zhangjiajie 張家界|张家界[Zhāng jiā jiè], Hunan
桓仁滿族自治縣	桓仁满族自治县	Huán rén Mǎn zú Zì zhì xiàn	Huanren Manchu autonomous county in Benxi 本溪, Liaoning
桓仁縣	桓仁县	Huán rén xiàn	Huanren Manchu autonomous county in Benxi 本溪, Liaoning
桓台縣	桓台县	Huán tái xiàn	Huantai county in Zibo 淄博[Zī bó], Shandong
梁山縣	梁山县	Liáng shān Xiàn	Liangshan County in Jining 濟寧|济宁[Jǐ níng], Shandong
梁平縣	梁平县	Liáng píng xiàn	Liangping county in Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan
梁河縣	梁河县	Liáng hé xiàn	Lianghe county in Dehong Dai and Jingpo autonomous prefecture 德宏傣族景頗族自治州|德宏傣族景颇族自治州[Dé hóng Dǎi zú Jǐng pō zú zì zhì zhōu], Yunnan
梅縣	梅县	Méi xiàn	Meixian county in Meizhou 梅州, Guangdong
梓潼縣	梓潼县	Zǐ tóng xiàn	Zitong county in Mianyang 綿陽|绵阳[Mián yáng], north Sichuan
梨樹縣	梨树县	Lí shù xiàn	Lishu county in Siping 四平, Jilin
棗強縣	枣强县	Zǎo qiáng xiàn	Zaoqiang county in Hengshui 衡水[Héng shuǐ], Hebei
榆中縣	榆中县	Yú zhōng xiàn	Yuzhong county in Lanzhou 蘭州|兰州[Lán zhōu], Gansu
榆社縣	榆社县	Yú shè xiàn	Yushe county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi
榕江縣	榕江县	Róng jiāng xiàn	Rongjiang county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
榮昌縣	荣昌县	Róng chāng xiàn	Rongchang suburban county in Chongqing municipality, formerly in Sichuan
榮河縣	荣河县	Róng hé xiàn	Ronghe former county in 運城|运城[Yùn chéng], Shanxi, present Linyi county 臨猗縣|临猗县[Lín yī xiàn]
榮縣	荣县	Róng xiàn	Rong county in Zigong 自貢|自贡[Zì gòng], Sichuan
樂亭縣	乐亭县	Lào tíng xiàn	Laoting county in Tangshan 唐山[Táng shān], Hebei
樂安縣	乐安县	Lè ān xiàn	Le'an county in Fuzhou 撫州|抚州, Jiangxi
樂東縣	乐东县	Lè dōng xiàn	Ledong Lizu autonomous county, Hainan
樂東黎族自治縣	乐东黎族自治县	Lè dōng Lí zú Zì zhì xiàn	Ledong Lizu autonomous county, Hainan
樂業縣	乐业县	Lè yè xiàn	Leye county in Baise 百色[Bǎi sè], Guangxi
樂至縣	乐至县	Lè zhì xiàn	Lezhi county in Ziyang 資陽|资阳[Zī yáng], Sichuan
樂都縣	乐都县	Lè dū xiàn	Ledu county in Haidong prefecture 海東地區|海东地区[Hǎi dōng dì qū], Qinghai
樅陽縣	枞阳县	Zōng yáng Xiàn	Zongyang county in Tongling 銅陵|铜陵[Tóng líng], Anhui
樺南縣	桦南县	Huà nán xiàn	Huanan county in Kiamusze or Jiamusi city 佳木斯[Jiā mù sī], Heilongjiang
樺川縣	桦川县	Huà chuān xiàn	Huachuan county in Kiamusze or Jiamusi city 佳木斯[Jiā mù sī], Heilongjiang
橫山縣	横山县	Héng shān Xiàn	Hengshan County in Yulin 榆林[Yú lín], Shaanxi
橫峰縣	横峰县	Héng fēng xiàn	Hengfeng county in Shangrao 上饒|上饶, Jiangxi
橫縣	横县	Héng xiàn	Heng county in Nanning 南寧|南宁[Nán níng], Guangxi
檯安縣	台安县	Tái ān xiàn	Tai'an county in Anshan 鞍山[Ān shān], Liaoning
欒城縣	栾城县	Luán chéng xiàn	Luancheng county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
欒川縣	栾川县	Luán chuān xiàn	Luanchuan county in Luoyang 洛陽|洛阳, Henan
歙縣	歙县	Shè xiàn	She county in Huangshan 黃山|黄山[Huáng shān], Anhui
正安縣	正安县	Zhèng ān Xiàn	Zheng'an county in Zunyi 遵義|遵义[Zūn yì], Guizhou
正定縣	正定县	Zhèng dìng xiàn	Zhengding county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
正寧縣	正宁县	Zhèng níng xiàn	Zhengning county in Qingyang 慶陽|庆阳[Qìng yáng], Gansu
正陽縣	正阳县	Zhèng yáng xiàn	Zhangyang county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
武功縣	武功县	Wǔ gōng Xiàn	Wugong County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
武勝縣	武胜县	Wǔ shèng xiàn	Wusheng county in Guang'an 廣安|广安[Guǎng ān], Sichuan
武城縣	武城县	Wǔ chéng xiàn	Wucheng county in Dezhou 德州[Dé zhōu], Shandong
